VR ID,Bid ID,Lane,CPT,,Volume (cuft),SDT Time,Status
111CXPS64,,OAK4->ONT5,9/19/2018,1:15:00,1410.98,9/19/2018 1:15,COMPLETED
116P56V6Q,,OAK4->ONT5,9/20/2018,1:15:00,1630.87,9/20/2018 1:15,COMPLETED
116PHR1ZD,,OAK4->ONT5,9/20/2018,1:15:00,2128.13,9/20/2018 0:27,COMPLETED
113V4FZ5P,15464842,OAK4->ONT5,9/21/2018,1:15:00,1581.2,9/21/2018 0:00,COMPLETED
11692WTGG,,OAK4->ONT5,9/21/2018,1:15:00,925.23,9/21/2018 1:15,COMPLETED
114TL6BRH,,OAK4->ONT5,9/21/2018,1:15:00,,9/20/2018 23:30,CANCELLED
112972KZH,,OAK4->ONT5,9/22/2018,1:15:00,2073,9/22/2018 1:15,COMPLETED
115T3Y2SG,,OAK4->ONT5,9/22/2018,1:15:00,,9/22/2018 0:30,CANCELLED
114VPFQ7C,FindWork,OAK4->ONT5,9/23/2018,1:15:00,982.76,9/23/2018 1:15,COMPLETED
1168M8LVM,,OAK4->ONT5,9/23/2018,1:15:00,2163.54,9/23/2018 1:15,COMPLETED
116MFWR19,FindWork,OAK4->ONT5,9/24/2018,1:15:00,1117.4,9/24/2018 1:15,COMPLETED
111XFXX5K,,OAK4->ONT5,9/24/2018,1:15:00,1404.7,9/24/2018 1:15,COMPLETED
116R7F1JT,,OAK4->ONT5,9/25/2018,1:15:00,1329.73,9/25/2018 1:15,COMPLETED
114V3C2RK,,OAK4->ONT5,9/25/2018,1:15:00,665.64,9/25/2018 1:15,COMPLETED
115PHGZB4,FindWork,OAK4->ONT5,9/26/2018,1:15:00,1938.65,9/26/2018 0:30,COMPLETED
1169GLYV9,,OAK4->ONT5,9/26/2018,1:15:00,1088.54,9/26/2018 1:15,COMPLETED
111MBQ2HM,,OAK4->ONT5,9/27/2018,1:15:00,1917.96,9/27/2018 1:06,COMPLETED
111XDQZR1,,OAK4->ONT5,9/27/2018,1:15:00,806.46,9/27/2018 1:15,COMPLETED
116TNCYSY,FindWork,OAK4->ONT5,9/28/2018,1:15:00,1833.32,9/28/2018 1:15,COMPLETED
112H456Q4,,OAK4->ONT5,9/28/2018,1:15:00,,9/28/2018 1:15,CANCELLED
114SKSM1H,FindWork,OAK4->ONT5,9/28/2018,1:15:00,,9/28/2018 0:30,CANCELLED
112KZ7BKC,,OAK4->ONT5,9/29/2018,1:15:00,2017.39,9/29/2018 0:30,COMPLETED
114PGRJS8,,OAK4->ONT5,9/29/2018,1:15:00,481.6,9/29/2018 1:15,COMPLETED
1125MFFDL,,OAK4->ONT5,9/30/2018,1:15:00,1057.6,9/30/2018 1:15,COMPLETED
1141N1B2W,,OAK4->ONT5,9/30/2018,1:15:00,2193.21,9/30/2018 0:27,COMPLETED
